id;tracking_code;date;details;invoice_id
1;Berkshire concept;2019-07-16T21:14:37;Future-proofed Awesome;2
2;Rubber Shirt;2019-07-17T09:06:47;deposit Chicken best-of-breed;9
3;Mission Rand Soap;2019-07-17T07:49:48;Licensed Wooden Pants;3
4;Chair Awesome;2019-07-17T09:32:59;Island cyan;4
5;Bedfordshire;2019-07-16T19:52:32;Ergonomic Soft Shoes;7
6;Sleek GB Regional;2019-07-17T10:58:45;systemic;9
7;quantify;2019-07-17T08:00:59;sky blue cultivate Bedfordshire;7
8;back-end Roads bypass;2019-07-17T11:33:52;Customer-focused;8
9;Internal Buckinghamshire Antarctica (the territory South of 60 deg S);2019-07-17T09:52:22;Inlet Hungary Configurable;3
10;leverage Toys software;2019-07-17T07:22:13;internet solution;2
